"MIP","STDIP","EKIP","SIP","MC","STDC","EKC","SC","TARGET"
"76.5234375","34.08719629","2.024270196","8.131774734","7.983277592","36.657363","4.888889599","23.67535368","1"
"98.3671875","50.30591899",".409147253",".073141345",".842809365","11.2356355","16.35994665","301.2815193","0"
"98.46875","38.37763377",".444189992","1.620170107","2.318561873","15.33493476","10.59863698","141.6794575","0"
"73.6015625","37.38928236","1.97830008","7.076542863","5.881270903","30.21748287","5.758598016","33.90977932","1"
"98.390625","38.09060628",".181846828","1.328352909","2.64632107","15.26245842","8.322596611","90.98396033","0"
"98.0625","43.70654091",".321597583",".926466995","2.141304348","14.50767066","9.952468275","125.3959599","0"
"74.25","40.62653843","1.581929463","3.703968084","10.81939799","41.9128634","4.136097276","16.55925567","1"
"98.390625","46.65770207",".41240313",".315738766","2.39548495","14.40491647","9.175932448","111.7958742","0"
"98.1953125","43.0103655",".095885261",".513077879","1.284280936","13.78324029","13.02087074","193.1033645","0"
"98.125","51.83311562",".278747284","-.2143049","2.593645485","20.55941125","9.221708243","88.25036284","0"
"74.515625","34.35408099","1.863238661","7.586409245","5.974916388","31.30726522","5.486881071","29.91894199","1"
"98.296875","36.66089525",".658723525","2.102054726","3.003344482","19.5649161","8.580805276","83.21087782","0"
"98.46875","47.51988687",".432779543","-.097803485","1.177257525","14.00168472","12.70386842","171.7762743","0"
"71.984375","79.08440748","1.086364722","-.5356664","176.0150502","60.6623401","-1.081765182",".377426241","1"
"98.0625","41.61537989",".509485929","1.104477791","2.234949833","14.14015426","9.885074816","126.4735568","0"
"98.265625","42.00325218",".27334086",".560430702","1.444816054","13.05222843","12.00455211","177.0910853","0"
"98.265625","49.60791336",".535087409",".12809299","1.760033445","15.66582805","11.14497688","140.0949553","0"
"71.015625","33.65727642","2.378285668","9.636837204","15.82023411","52.43958421","3.382534948","10.30313808","1"
"98.1953125","43.09800941",".63982303","1.545838684","4.266722408","23.54917142","6.241203593","41.3409742","0"
"76.0546875","60.41294209","1.432916528",".936654202","12.50250836","42.66156574","3.993994981","15.72042199","1"
"73.140625","38.62130532","2.224342588","7.188845541","23.82608696","59.84781303","2.506847238","5.015605136","1"
